@relation fact_checker

@attribute name_feature string
@attribute avg_page_rank_confirming numeric
@attribute avg_page_rank_non_confirming numeric
@attribute total_hit_count numeric
@attribute avg_topic_coverage_confirming numeric
@attribute avg_topic_coverage_non_confirming numeric
@attribute avg_topic_majority_web_confirming numeric
@attribute avg_topic_majority_web_non_confirming numeric
@attribute avg_topic_majority_search_confirming numeric
@attribute avg_topic_majority_search_non_confirming numeric
@attribute number_of_confirming_facts numeric
@attribute number_of_confirming_sites numeric
@attribute number_of_possibly_confirming_facts numeric
@attribute number_of_possibly_confirming_sites numeric
@attribute max_number_of_possible_confirming_fact numeric
@attribute total_evidence_score numeric
@attribute class {true,false}

@data
division_2.ttl,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,true
former_team_7.ttl,0.333333,0,7946,0.611111,0.592157,242,399,1.340909,23.363636,2,2,3,3,1,2.7,true
time_zone_9.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
former_team_1.ttl,0,0,19,0.566667,0.628571,11,18,0.666667,1.555556,0,0,3,2,1,0.5,true
binomial_authority_6.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
music_composer_0.ttl,1.5,0,864,0,0,842,859,0,0,0,0,2,2,1,0.2,true
subsequent_work_1.ttl,1.2,0,176239,0.952381,0.715116,52625,178539,4.731183,55.44086,1,1,7,7,7,2.2,true
commander_1.ttl,0,0,190,0,0,0,190,0,0,0,0,0,0,0,0,true
musical_band_4.ttl,1,0,87748,0.657143,0.482578,22385,22390,9.857143,14.5,10,5,46,29,47,16.6,true
home_town_9.ttl,1.666667,0,38390,0.537037,0.59775,21409,21456,0.705882,8.211765,0,0,8,6,10,1.2,true
musical_artist_0.ttl,1.368421,0,215302,0.659091,0.644033,22294,22294,19.058252,61.504854,7,2,42,22,38,13.1,true
party_1.ttl,0,0,22,0,0,0,5,0,0,0,0,0,0,0,0,true
department_6.ttl,0,0,38,0,0.8,0,30,0,12.526316,0,0,0,0,0,0,true
district_8.ttl,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,true
order_6.ttl,3,0,9,0.777778,0.518519,5,5,0.428571,1.285714,0,0,1,1,1,0.1,true
location_9.ttl,2.041667,0,148931,0.375,0.468354,63623,63628,3.932039,16.165049,1,1,37,24,17,6.8,true
region_8.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
country_9.ttl,0,0,22,0,0.613281,0,19,0,2.875,0,0,0,0,0,0,true
class_7.ttl,1,0,23,0,0,17,23,0,0,1,1,7,3,4,1.8,true
former_team_2.ttl,0,0,50,0,0,0,44,0,0,0,0,0,0,0,0,true
artist_0.ttl,1.071429,0,34937,0.48,0.376923,8,8,9.820896,22.686567,9,4,19,15,16,11.7,true
award_1.ttl,2.333333,0,452,0.784314,0.659664,239,432,0.457627,13.305085,1,1,3,3,1,1.6,true
binomial_authority_5.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
region_3.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
recorded_in_1.ttl,0,0,159709,0,0,0,0,0,0,0,0,0,0,0,0,true
genre_7.ttl,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,true
city_4.ttl,1.448276,0,29390,0.916667,0.788889,33386,33387,8.293578,14.697248,10,3,49,33,30,16.9,true
manager_club_4.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
team_5.ttl,0,0,755,0.752381,0.699225,501,732,1.64,9.44,0,0,9,7,2,1.6,true
format_4.ttl,0,0,16,0,0,0,0,0,0,0,0,1,1,1,0.3,true
associated_musical_artist_0.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
current_member_9.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
phylum_6.ttl,5,0,306,0.733333,0.655914,1,1,0.3125,5.125,0,0,1,1,3,0.1,true
record_label_6.ttl,0,0,35,0,0.508418,0,32,0,3.62963,0,0,0,0,0,0,true
time_zone_2.ttl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
musical_band_8.ttl,1.564103,0,7504600,0.535714,0.448661,1113,1113,22.175325,41.474026,17,8,87,42,25,29.8,true
phylum_3.ttl,0,0,387,0.333333,0.350877,0,0,0.325,7.225,0,0,2,2,2,0.2,true
